MatchID,Date,OpponentID,GameType,CScore,OScore,CPossesion,OPossesion,CShot,OShot
1,09/14/2020,3,away,3,1,47.7,52.3,5,3
2,09/20/2020,11,home,0,2,38.7,61.3,3,6
3,09/26/2020,18,away,3,3,75.9,24.1,10,3
4,10/03/2020,6,home,4,0,70.9,29.1,6,0
5,10/17/2020,16,home,3,3,53.4,46.6,5,6
6,10/24/2020,13,away,0,0,49.8,50.2,1,4
7,10/31/2020,4,away,3,0,63.7,36.3,9,0
8,11/07/2020,15,home,4,1,70.1,29.9,9,3
9,11/21/2020,14,away,2,0,71.0,29.0,3,1
10,11/29/2020,17,home,0,0,60.3,39.7,3,1
11,12/05/2020,9,home,3,1,45.8,54.2,11,3
12,12/12/2020,7,away,0,1,72.0,28.0,3,4
13,12/15/2020,20,away,1,2,54.9,45.1,3,4
14,12/21/2020,19,home,3,0,53.7,46.3,7,0
15,12/26/2020,1,away,1,3,61.0,39.0,3,7
16,12/28/2020,2,home,1,1,63.4,36.6,5,2
17,01/03/2021,12,home,1,3,54.6,45.4,2,6
18,01/16/2021,8,away,1,0,69.8,30.2,6,3
19,01/19/2021,10,away,0,2,64.4,35.6,5,6
20,01/27/2021,20,home,0,0,78.9,21.1,5,0
21,01/31/2021,4,home,2,0,71.1,28.9,8,0
22,02/04/2021,17,away,1,0,58.0,42.0,2,2
23,02/07/2021,15,away,2,1,68.9,31.1,3,3
24,02/15/2021,14,home,2,0,65.6,34.4,6,4
25,02/20/2021,16,away,1,1,70.9,29.1,3,1
26,02/28/2021,13,home,0,0,57.4,42.6,6,4
27,03/04/2021,11,away,1,0,45.8,54.2,5,1
28,03/08/2021,7,home,2,0,65.5,34.5,9,1
29,03/13/2021,9,away,0,0,62.3,37.7,8,4
30,04/03/2021,18,home,2,5,66.2,33.8,8,7
31,04/10/2021,6,away,4,1,64.3,35.7,10,1
