PlayerID,TeamID,PlayerName,PlayerPosition
1,1,Bernd Leno,Goalkeeper
2,1,Héctor Bellerín,Defender
3,1,Kieran Tierney,Defender
4,1,Rob Holding,Defender
5,1,Calum Chambers,Defender
6,1,David Luiz,Defender
7,1,Mohamed Elneny,Midfielder
8,1,Emile Smith Rowe,Midfielder
9,1,Granit Xhaka,Midfielder
10,1,Bukayo Saka,Midfielder
11,1,Alexandre Lacazette,Forward
12,1,Pierre-Emerick Aubameyang,Forward
13,1,Nicolas Pépé,Forward
14,1,Reiss Nelson,Forward
15,1,Eddie Nketiah,Forward
16,1,Gabriel Martinelli,Forward
17,1,Willian,Forward
18,1,Gabriel Magalhães,Defender
19,1,Rúnar Alex Rúnarsson,Goalkeeper
20,1,Thomas Partey,Midfielder
21,1,Cédric Soares,Defender
22,1,Pablo Marí,Defender
23,1,Karl Hein,Goalkeeper
24,1,Folarin Balogun,Forward
25,1,Mat Ryan,Goalkeeper
26,1,Martin Ødegaard,Midfielder
27,1,Ben Cottrell,Midfielder
28,1,Miguel Azeez,Midfielder
29,1,Arthur Okonkwo,Goalkeeper
30,1,Dani Ceballos,Midfielder
31,1,Joel Lopez Salguero,Defender
32,2,Tom Heaton,Goalkeeper
33,2,Jed Steer,Goalkeeper
34,2,Neil Taylor,Defender
35,2,Ezri Konsa Ngoyo,Defender
36,2,Matt Targett,Defender
37,2,Björn Engels,Defender
38,2,Ahmed El Mohamady,Defender
39,2,Kortney Hause,Defender
40,2,Tyrone Mings,Defender
41,2,Douglas Luiz,Midfielder
42,2,John McGinn,Midfielder
43,2,Henri Lansbury,Midfielder
44,2,Jack Grealish,Midfielder
45,2,Marvelous Nakamba,Midfielder
46,2,Trézéguet,Midfielder
47,2,Anwar El Ghazi,Midfielder
48,2,Wesley,Forward
49,2,Keinan Davis,Forward
50,2,Matthew Cash,Defender
51,2,Ollie Watkins,Forward
52,2,Emiliano Martínez,Goalkeeper
53,2,Bertrand Traoré,Forward
54,2,Ross Barkley,Midfielder
55,2,Akos Onodi,Goalkeeper
56,2,Oliwer Zych,Goalkeeper
57,2,Jake Walker,Defender
58,2,Sil Swinkels,Defender
59,2,Frankie Ealing,Defender
60,2,Callum Rowe,Midfielder
61,2,Harrison Sohna,Midfielder
62,2,Benjamin Chrisene,Midfielder
63,2,Kaine Hayden,Midfielder
64,2,Arjan Raikhy,Midfielder
65,2,Brad Young,Midfielder
66,2,Lamar Bogarde,Midfielder
67,2,Hayden Lindley,Midfielder
68,2,Edward Rowe,Midfielder
69,2,Taylor Jay-Hart,Midfielder
70,2,Mungo Bridge,Forward
71,2,Michael Tait,Forward
72,2,Louie Barry,Forward
73,2,Morgan Sanson,Midfielder
74,2,Jacob Ramsey,Midfielder
75,2,Carney Chukwuemeka,Midfielder
76,2,Jaden Philogene-Bidace,Midfielder
77,3,Jason Steele,Goalkeeper
78,3,Ben White,Defender
79,3,Tariq Lamptey,Defender
80,3,Lewis Dunk,Defender
81,3,Adam Webster,Defender
82,3,Dan Burn,Defender
83,3,Joël Veltman,Defender
84,3,Yves Bissouma,Midfielder
85,3,Alexis Mac Allister,Midfielder
86,3,Leandro Trossard,Forward
87,3,Pascal Groß,Midfielder
88,3,Adam Lallana,Midfielder
89,3,Solly March,Midfielder
90,3,Davy Pröpper,Midfielder
91,3,Neal Maupay,Forward
92,3,Alireza Jahanbakhsh,Forward
93,3,José Izquierdo,Forward
94,3,Aaron Connolly,Forward
95,3,Steven Alzate,Midfielder
96,3,Christian Walton,Goalkeeper
97,3,Robert Sánchez,Goalkeeper
98,3,Lars Dendoncker,Midfielder
99,3,Andi Zeqiri,Forward
100,3,Danny Welbeck,Forward
101,3,Percy Tau,Forward
102,3,Reda Khadra,Midfielder
103,3,Jensen Weir,Midfielder
104,3,Moisés Caicedo,Midfielder
105,3,Thomas McGill,Goalkeeper
106,3,Michal Karbownik,Defender
107,3,Romaric Yapi,Defender
108,3,Jakub Moder,Midfielder
109,3,Peter Gwargis,Midfielder
110,3,Teddy Jenks,Midfielder
111,3,Florin Andone,Forward
112,4,Nick Pope,Goalkeeper
113,4,Bailey Peacock-Farrell,Goalkeeper
114,4,Matthew Lowton,Defender
115,4,Charlie Taylor,Defender
116,4,James Tarkowski,Defender
117,4,Ben Mee,Defender
118,4,Erik Pieters,Defender
119,4,Phil Bardsley,Defender
120,4,Kevin Long,Defender
121,4,Jack Cork,Midfielder
122,4,Jóhann Gudmundsson,Midfielder
123,4,Josh Brownhill,Midfielder
124,4,Dwight McNeil,Midfielder
125,4,Robbie Brady,Midfielder
126,4,Ashley Westwood,Midfielder
127,4,Chris Wood,Forward
128,4,Ashley Barnes,Forward
129,4,Jay Rodriguez,Forward
130,4,Matej Vydra,Forward
131,4,Will Norris,Goalkeeper
132,4,Dale Stephens,Midfielder
133,4,Anthony Mancini,Midfielder
134,4,Richard Nartey,Defender
135,4,Jimmy Dunne,Defender
136,4,Anthony Driscoll-Glennon,Defender
137,4,Lewis Richardson,Midfielder
138,4,Josh Benson,Midfielder
139,4,Max Thompson,Forward
140,4,Joel Mumbongo,Forward
141,5,Kepa Arrizabalaga,Goalkeeper
142,5,Willy Caballero,Goalkeeper
143,5,Antonio Rüdiger,Defender
144,5,Marcos Alonso,Defender
145,5,Andreas Christensen,Defender
146,5,Kurt Zouma,Defender
147,5,Reece James,Defender
148,5,César Azpilicueta,Defender
149,5,Emerson,Defender
150,5,Hakim Ziyech,Midfielder
151,5,Jorginho,Midfielder
152,5,N'Golo Kanté,Midfielder
153,5,Mateo Kovacic,Midfielder
154,5,Mason Mount,Midfielder
155,5,Christian Pulisic,Midfielder
156,5,Billy Gilmour,Midfielder
157,5,Timo Werner,Forward
158,5,Tammy Abraham,Forward
159,5,Olivier Giroud,Forward
160,5,Callum Hudson-Odoi,Forward
161,5,Ben Chilwell,Defender
162,5,Thiago Silva,Defender
163,5,Kai Havertz,Midfielder
164,5,Édouard Mendy,Goalkeeper
165,5,Karlo Ziger,Goalkeeper
166,5,Faustino Anjorin,Midfielder
167,5,Lewis Bate,Midfielder
168,6,Wayne Hennessey,Goalkeeper
169,6,Vicente Guaita,Goalkeeper
170,6,Nathan Ferguson,Defender
